Source,Target,Weight
127,2205,7.0430804E-4
71,2943,0.0010564621
1648,3889,0.0055170795
1648,39,8.216927E-4
1648,3802,0.0012912314
1648,3144,0.0010564621
1648,1454,7.0430804E-4
1648,1231,0.0010564621
1648,2571,0.0016433854
1648,1493,0.0010564621
1648,2593,0.0042258482
1648,3967,0.0010564621
1648,3736,0.0019955393
1648,3535,0.0012912314
1648,1441,9.3907735E-4
1648,2916,7.0430804E-4
1648,4022,0.0031693862
1648,3856,9.3907735E-4
1648,3043,0.0014086161
1648,3590,0.0012912314
1648,248,0.0010564621
1648,684,9.3907735E-4
1648,571,8.216927E-4
1648,1000,0.0036389248
1648,3034,7.0430804E-4
1648,3425,8.216927E-4
1648,2495,0.0012912314
1648,2322,0.0016433854
1648,1223,7.0430804E-4
1648,945,0.0025824627
1648,2902,0.0012912314
1648,3789,0.0011738467
1648,3457,8.216927E-4
1648,2175,8.216927E-4
1648,47,0.016199084
1648,282,8.216927E-4
1648,3522,0.0011738467
1648,1377,0.0010564621
1648,4,0.0014086161
3596,2531,8.216927E-4
3596,1670,8.216927E-4
3509,425,9.3907735E-4
3509,3137,8.216927E-4
3509,2275,0.0030520014
2927,2167,0.0010564621
2266,424,9.3907735E-4
3163,108,0.0014086161
3163,2807,0.0011738467
3163,3162,0.0012912314
3163,3095,0.0018781547
3163,1198,0.0011738467
3163,1899,0.0025824627
3163,1194,0.0010564621
3163,3667,8.216927E-4
3163,3773,7.0430804E-4
3163,328,0.0026998473
3163,226,0.0059866183
3163,2685,9.3907735E-4
3163,1410,7.0430804E-4
2915,801,8.216927E-4
1932,522,0.0045780023
463,119,7.0430804E-4
458,39,0.007395234
458,2593,7.0430804E-4
1785,246,9.3907735E-4
1785,3939,0.0014086161
1785,1155,7.0430804E-4
1785,2786,7.0430804E-4
1785,3420,7.0430804E-4
1785,3453,8.216927E-4
1250,3130,0.0015260007
3588,652,0.0016433854
3588,26,0.0016433854
3588,2765,0.009860313
3588,1476,9.3907735E-4
3588,1409,9.3907735E-4
3588,354,0.0030520014
3588,2943,8.216927E-4
3588,4022,7.0430804E-4
3588,1670,7.0430804E-4
3588,226,0.0014086161
3588,3893,0.0010564621
3588,1633,8.216927E-4
2507,529,0.0016433854
3051,2824,0.0016433854
1109,1606,7.0430804E-4
3957,2909,0.0010564621
3957,293,9.3907735E-4
3957,3573,8.216927E-4
3497,2807,0.0084516965
3497,3520,0.0066909264
3497,1167,8.216927E-4
3497,3420,0.007512619
3497,3756,0.0014086161
1597,2593,0.0016433854
1597,2807,8.216927E-4
1597,3046,0.0014086161
1597,4022,0.0010564621
1597,571,0.0010564621
1597,160,7.0430804E-4
1597,186,7.0430804E-4
1597,2175,0.0010564621
3109,4022,8.216927E-4
3109,2772,0.0010564621
3109,2175,0.0014086161
3919,3096,0.0011738467
728,2410,0.0011738467
2154,3108,8.216927E-4
2154,3276,8.216927E-4
1638,566,0.0011738467
1638,2494,8.216927E-4
742,2716,8.216927E-4
3936,4022,0.0012912314
2203,1515,0.0032867708
2932,3736,8.216927E-4
2932,354,8.216927E-4
2932,912,0.0017607701
2932,1860,0.0035215402
2932,2490,7.0430804E-4
2754,3151,8.216927E-4
2387,2450,8.216927E-4
2387,2175,7.0430804E-4
2994,3889,8.216927E-4
2994,809,0.0016433854
2994,1193,0.0032867708
2994,529,0.0044606174
2994,3742,0.0017607701
2994,3016,0.0018781547
2994,168,0.0034041554
2994,2901,0.0011738467
2994,2884,0.0026998473
340,3692,8.216927E-4
340,1562,0.0010564621
4003,2175,9.3907735E-4
3906,529,0.0024650781
3844,1590,8.216927E-4
4012,529,0.0062213875
917,2925,0.0056344643
3431,1656,8.216927E-4
3431,1773,0.0021129241
3431,4022,0.0050475406
3431,594,7.0430804E-4
3536,538,9.3907735E-4
3889,3588,0.003873694
3889,2932,0.015142622
3889,3574,7.0430804E-4
3889,2864,0.0028172322
3889,39,0.0022303087
3889,2146,0.0015260007
3889,652,0.0032867708
3889,2034,7.0430804E-4
3889,700,0.0015260007
3889,1442,7.0430804E-4
3889,710,0.0010564621
3889,3612,0.0012912314
3889,1338,8.216927E-4
3889,278,0.0014086161
3889,3614,8.216927E-4
3889,89,8.216927E-4
3889,2972,0.0010564621
3889,2245,0.0039910786
3889,3349,0.014555699
3889,3721,0.0018781547
3889,2543,0.0016433854
