Id,City,latitude,longitude
127,"Wasilla, Alaska, United States",61.5814,-149.439
71,"Yobe, Yobe, Nigeria",12.0,11.5
882,"Richmond, Virginia, United States",37.5538,-77.4603
1050,"Johns Hopkins Hospital, Maryland, United States",39.2974,-76.5921
560,"Manteca, California, United States",37.7974,-121.216
1178,"Derna, Sha`Biyat Darnah, Libya",32.767,22.6367
898,"Raleigh, North Carolina, United States",35.7721,-78.6386
798,"Zamboanga Sibugay, Province Of Zamboanga Sibugay, Philippines",7.80759,122.589
512,"Gharbiya, H_efa, Israel",32.4181,35.0431
517,"Sinjar, Idlib, Syria",35.5905,37.0054
458,"East Baton Rouge Parish, Louisiana, United States",30.5169,-91.1001
451,"Shahdara, Madhya Pradesh, India",24.6167,77.6
454,"Omaha, Nebraska, United States",41.2586,-95.9378
1250,"Yaounde, Centre, Cameroon",3.86667,11.5167
634,"Gulberg, Punjab, Pakistan",31.5317,74.3495
1109,"Akron, Ohio, United States",41.0814,-81.519
578,"World Trade Center, Illinois, United States",41.8889,-87.6303
695,"Tal Abyad, Ar Raqqah, Syria",36.6816,38.9768
728,"Dhaka, Dhaka, Bangladesh",23.7231,90.4086
742,"Idlib, Idlib, Syria",35.9306,36.6339
378,"Baghdad, Baghdad, Iraq",33.3386,44.3939
29,"White House, District Of Columbia, United States",38.8951,-77.0364
889,"Cleveland County, Oklahoma, United States",35.2001,-97.3003
350,"Olmsted County, Minnesota, United States",44.0005,-92.4502
540,"Sofia, Sofiya-Grad, Bulgaria",42.6833,23.3167
1162,"Tarrant County, Texas, United States",32.7668,-97.3003
58,"Kanawha County, West Virginia, United States",38.3334,-81.5665
211,"Euphrates River, Al Anbar, Iraq",33.0833,43.4833
153,"Ajristan, Ghazni, Afghanistan",33.5093,67.1925
861,"Hampshire, Hampshire, United Kingdom",51.0833,-1.16667
101,"Brussels, Bruxelles-Capitale, Belgium",50.8333,4.33333
76,"Trenton, New Jersey, United States",40.2171,-74.7429
311,"Bernalillo County, New Mexico, United States",35.05,-106.667
571,"Port Harcourt, Rivers, Nigeria",4.78917,6.99861
1214,"Whiteville, North Carolina, United States",34.3388,-78.7031
1190,"Grand Island, Nebraska, United States",40.925,-98.342
389,"Brockton, Massachusetts, United States",42.0834,-71.0184
495,"Anchorage, Alaska, United States",61.2181,-149.9
1171,"Palm Beach, Florida, United States",26.7056,-80.0364
1123,"Qin Gang, Anhui, China",32.5294,118.598
966,"Bucharest, Bucuresti, Romania",44.4333,26.1
236,"Red Sea, Djibouti (General), Djibouti",19.0,39.5
706,"Starobesheve, Donets'ka Oblast', Ukraine",47.7504,38.0305
218,"Rossiya, Orenburgskaya Oblast', Russia",52.4,54.9833
14,"Leavenworth, Kansas, United States",39.3111,-94.9225
1259,"Dera Ismail Khan, North-West Frontier, Pakistan",31.8327,70.9024
834,"Ram Hamdan, Idlib, Syria",36.0269,36.7132
285,"Long Island, New York, United States",43.152,-76.061
594,"Tallinn, Harjumaa, Estonia",59.4339,24.7281
1135,"Lviv, L'vivs'ka Oblast', Ukraine",49.8407,24.0305
1203,"Allentown, Pennsylvania, United States",40.4276,-79.9939
96,"Luntai, Xinjiang, China",41.7739,84.2442
1068,"Falfurrias, Texas, United States",27.227,-98.1442
486,"Pollock Pines, California, United States",38.7613,-120.587
160,"Muncie, Indiana, United States",40.1934,-85.3864
569,"Wonsan, Cholla-Namdo, South Korea",34.8506,127.408
8,"Dayton, Ohio, United States",39.7589,-84.1916
98,"Mediterranean Sea, Oceans (General), Oceans",35.0,20.0
1000,"Tihar, Uttar Pradesh, India",26.3521,79.2158
43,"Taipei, T'ai-Pei, Taiwan",25.0478,121.532
686,"Kumasi, Ashanti, Ghana",6.68333,-1.61667
288,"Luhamaa, VõAa, Estonia",57.625,27.3614
193,"Saharanpur, Uttar Pradesh, India",29.9667,77.55
586,"Jawf, Abyan, Yemen",13.8378,45.8349
180,"Kaduna State, Kaduna, Nigeria",10.3333,7.75
246,"Jalalabad, Nangarhar, Afghanistan",34.4265,70.4515
999,"Damascus, Dimashq, Syria",33.5,36.3
690,"Topeka, Kansas, United States",39.0483,-95.678
1168,"Shegal, North-West Frontier, Pakistan",35.1134,72.5033
1180,"Tampa Bay, Florida, United States",27.765,-82.5825
430,"Lashio, Shan State, Myanmar",22.9333,97.75
447,"Incirlik, Antalya, Turkey",36.4655,30.3556
536,"Cobb County, Georgia, United States",33.9334,-84.5666
1130,"Atlanta, Georgia, United States",33.749,-84.388
415,"Jadavpur, West Bengal, India",22.4833,88.3833
189,"Kawuri, Kaduna, Nigeria",11.1902,8.44435
480,"Guildford, Western Australia, Australia",-31.9,115.967
1153,"Shabqadar, North-West Frontier, Pakistan",34.2139,71.5552
438,"Georgetown College, Kentucky, United States",38.2081,-84.5524
87,"Hawaii, United States",21.1098,-157.531
1022,"San Diego, California, United States",32.7153,-117.157
508,"Luhansk, Luhans'ka Oblast', Ukraine",48.567,39.3171
221,"Nusra, Kafr Ash Shaykh, Egypt",31.1453,31.0067
39,"Lubbock, Texas, United States",33.5779,-101.855
1089,"Islah, Al Ma?Wit, Yemen",15.5068,43.7413
558,"Havana, Ciudad De La Habana, Cuba",23.1319,-82.3642
417,"Accra, Greater Accra, Ghana",5.55,-0.216667
12,"Green Bay, Wisconsin, United States",44.5192,-88.0198
784,"Nasarawa, Sokoto, Nigeria",13.0303,5.1938
260,"Copperas Cove, Texas, United States",31.1241,-97.9031
573,"Philippine, Benguet, Philippines",16.45,120.55
1144,"Oregon State University, Oregon, United States",44.5643,-123.275
762,"Kolofata, Extreme-Nord, Cameroon",11.1621,14.0115
734,"Maine, United States",44.6074,-69.3977
1197,"Glasgow, Glasgow City, United Kingdom",55.8333,-4.25
144,"Kyiv, Kyyiv, Misto, Ukraine",50.4333,30.5167
381,"Capitol Heights, Maryland, United States",38.8851,-76.9158
581,"North Carolina, United States",35.6411,-79.8431
308,"Volusia County, Florida, United States",29.0836,-81.2081
906,"Nuba Mountains, Janub Kurdufan, Sudan",12.0,30.75
678,"Luzerne County, Pennsylvania, United States",41.3754,-76.2499
1247,"Natick, Massachusetts, United States",42.2834,-71.3495
205,"Sderot, Hadarom, Israel",31.525,34.5969
22,"Bhopal, Madhya Pradesh, India",23.2667,77.4
927,"District Of Columbia, United States",38.8964,-77.0262
301,"Afrin, ?Alab, Syria",36.2251,37.3266
51,"Fairbanks, Alaska, United States",64.8378,-147.716
1260,"University Park, Texas, United States",32.8501,-96.8003
456,"Harris County, Texas, United States",29.8336,-95.4002
874,"Lucknow, Uttar Pradesh, India",26.85,80.9167
652,"Minnesota, United States",45.7326,-93.9196
975,"Cleveland, Ohio, United States",41.4995,-81.6954
1033,"Karnataka, Karnataka, India",13.5,76.0
796,"Phoenix, Arizona, United States",33.4484,-112.074
1026,"Kunming, Yunnan, China",25.0389,102.718
366,"Ossetia, Russia (General), Russia",42.75,44.0
272,"Utah County, Utah, United States",40.1244,-111.626
919,"Xiamen, Fujian, China",24.4798,118.082
746,"Adamawa, Nigeria (General), Nigeria",11.4833,10.9667
534,"Shawal, Zabol, Afghanistan",31.9422,67.7721
400,"Astana, Gorod Astana, Kazakhstan",51.1811,71.4278
744,"Montreal, Quebec, Canada",45.5,-73.5833
888,"Port Elizabeth, Eastern Cape, South Africa",-33.918,25.5701
633,"Ankara, Ankara, Turkey",39.9272,32.8644
151,"Newark, New Jersey, United States",40.7357,-74.1724
468,"Mount Jewett, Pennsylvania, United States",41.7256,-78.6384
1019,"Idleb, Idlib, Syria",35.9306,36.6339
700,"Clarksville, Tennessee, United States",36.5298,-87.3595
287,"Fotokol, Extreme-Nord, Cameroon",12.3731,14.2277
475,"Tijuana, Baja California, Mexico",32.5333,-117.017
78,"Shawnee County, Kansas, United States",39.05,-95.7669
990,"Dagupan, Pangasinan, Philippines",16.1,120.517
413,"Manila, Manila, Philippines",14.6042,120.982
294,"Kaduna, Kaduna, Nigeria",10.5231,7.44028
932,"Haditha, Al Anbar, Iraq",34.1348,42.3772
764,"Khorasan, Helmand, Afghanistan",32.2193,63.808
349,"Hazm, Karbala', Iraq",32.7,43.8833
515,"Darfur, Gharb Darfur, Sudan",13.5,23.5
1242,"Khorasan, Kordestan, Iran",35.7131,47.2656
138,"Jacksonville, Florida, United States",30.3322,-81.6556
606,"Martinsburg, West Virginia, United States",39.4562,-77.9639
137,"Texas Department Of Public Safety, Texas, United States",30.3263,-97.7242
1201,"Hebron University, West Bank (General), West Bank",31.5502,35.0925
724,"Rehoboth Beach, Delaware, United States",38.7209,-75.076
666,"Maplewood, New Jersey, United States",40.7312,-74.2735
519,"Athens, AttikíR, Greece",37.9833,23.7333
1074,"Ahrar, Khuzestan, Iran",32.1321,48.2003
860,"Roubaix, Nord-Pas-De-Calais, France",50.6942,3.17456
1195,"Houston, Texas, United States",29.7633,-95.3633
1063,"Clark County, Nevada, United States",36.0003,-114.876
17,"Haram, As Suwayda', Syria",33.0997,36.5195
110,"Jammu, Jammu And Kashmir, India",32.7333,74.8667
333,"Addis Ababa, (Et10), Ethiopia",9.03333,38.7
710,"Riyadh, Ar Riya?, Saudi Arabia",24.6408,46.7728
856,"Kerawa, Extreme-Nord, Cameroon",11.1825,13.9135
112,"Rabat, Rabat-SaléEmmour-ZaëMo, Morocco",34.02,-6.83
191,"Saratoga, Utah, United States",40.3491,-111.905
588,"Al Qaim, Qadissiya Muhafadha, Iraq",31.5908,44.5386
646,"Hiroshima, Hiroshima, Japan",34.4,132.45
446,"Kurdistan, Khuzestan, Iran",30.6693,50.2055
262,"Volga, Yaroslavskaya Oblast', Russia",57.5488,40.117
1220,"Maquoketa, Iowa, United States",42.0689,-90.6657
212,"Aleppo, ?Alab, Syria",36.2028,37.1586
1149,"Azeri, Vayots' Dzor, Armenia",39.7195,45.6474
542,"Las Vegas, Nevada, United States",36.175,-115.137
961,"North Waziristan, Federally Administered Tribal Areas, Pakistan",32.9509,69.9576
1087,"Northern Ireland, Craigavon, United Kingdom",54.5,-6.5
170,"Tokyo, Tokyo, Japan",35.685,139.751
33,"Kentucky, United States",37.669,-84.6514
660,"Berlin, Berlin, Germany",52.5167,13.4
7,"Baton Rouge, Louisiana, United States",30.4507,-91.1545
227,"Federal Capital Territory, Abuja Federal Capital Territory, Nigeria",8.83333,7.16667
566,"Pima County, Arizona, United States",32.0004,-112.003
526,"Wythe County, Virginia, United States",36.9168,-81.0498
806,"Ben Gurion, Hamerkaz, Israel",32.0114,34.8867
264,"Montevideo, Montevideo, Uruguay",-34.8581,-56.1708
255,"Westville, Kwazulu-Natal, South Africa",-29.8255,30.937
1229,"Saint-Martin-Vesubie, Provence-Alpes-CôD'azur, France",44.07,7.25547
108,"Jeddah, Makkah, Saudi Arabia",21.5169,39.2192
604,"California, United States",36.17,-119.746
1001,"Montgomery County, Pennsylvania, United States",40.3754,-75.4999
717,"Johannesburg, Gauteng, South Africa",-26.2,28.0833
232,"Phnom Penh, (Cb11), Cambodia",11.55,104.917
477,"Al-Qaidah, ?Ajjah, Yemen",16.0941,43.4091
815,"Fresh Pond, California, United States",38.7602,-120.53
671,"Wuhan, Hubei, China",30.5833,114.267
225,"Long Beach, California, United States",33.767,-118.189
142,"Shabwa, La?Ij, Yemen",13.5167,44.4333
207,"Kismayu, Jubbada Hoose, Somalia",-0.358173,42.5454
48,"Rutgers University, New Jersey, United States",40.4995,-74.4443
360,"Hawija, DiyaláZ, Iraq",34.0167,44.3833
663,"Wake County, North Carolina, United States",35.7835,-78.6331
969,"New Jersey, United States",40.314,-74.5089
1174,"Cape Town, Western Cape, South Africa",-33.9167,18.4167
1076,"Cincinnati, Ohio, United States",39.162,-84.4569
510,"Mardan, North-West Frontier, Pakistan",34.2019,72.0525
393,"Raqqa, Ar Raqqah, Syria",35.95,39.0167
449,"Penang, Pulau Pinang, Malaysia",5.41123,100.335
658,"Gulf Of Mexico, Louisiana, United States",29.1869,-89.9367
549,"Khartoum, Al Khartum, Sudan",15.5881,32.5342
