Source,Target,Weight
1801,2525,0.002762431
71,2490,0.001183899
1481,1725,0.0015785319
1481,2628,0.003551697
1481,343,0.001183899
2266,149,0.001183899
2266,1673,0.009668509
1387,2591,0.001183899
463,453,0.001183899
517,2028,0.001183899
2634,736,0.0013812155
1785,2313,0.005524862
2507,2236,0.002762431
2507,2504,0.001183899
1109,1318,0.001183899
2067,2591,0.002762431
1597,1396,0.002762431
1597,2676,0.0015785319
1597,61,0.0013812155
1597,1580,0.0017758484
1597,1776,0.0037490134
1597,1984,0.0053275456
1597,1545,0.001183899
1597,1052,0.001183899
1597,149,0.060181532
1597,523,0.001183899
1597,341,0.007498027
1597,1129,0.0031570639
1597,1143,0.0013812155
1597,40,0.016969219
1597,1706,0.0069060773
1597,2235,0.025848461
1597,400,0.0015785319
1597,53,0.001973165
1597,1577,0.0017758484
1597,971,0.0015785319
1597,1783,0.0031570639
1597,1243,0.011444356
1597,1813,0.0063141277
1597,219,0.002367798
1597,1016,0.0045382795
1597,1878,0.0045382795
1597,352,0.001183899
1597,2444,0.03492502
1597,374,0.0015785319
1597,1306,0.001183899
1597,1211,0.0013812155
1597,601,0.012233622
1597,2252,0.001973165
1597,792,0.0021704815
1597,1455,0.002367798
728,384,0.0015785319
1244,1506,0.001183899
1244,2684,0.001183899
2154,1506,0.0017758484
2154,1530,0.001183899
742,2684,0.002762431
29,460,0.0025651145
350,69,0.002367798
350,2244,0.0025651145
1969,460,0.0013812155
58,1133,0.0025651145
101,2628,0.0021704815
101,176,0.0013812155
311,2568,0.0013812155
311,1750,0.0013812155
917,395,0.0013812155
2425,1597,0.001183899
2425,1580,0.002367798
2425,112,0.0013812155
2425,1182,0.002367798
2425,2366,0.001183899
2425,1895,0.0021704815
2425,1506,0.001183899
2425,341,0.0031570639
2425,1706,0.008287293
2425,777,0.0013812155
2425,1478,0.0025651145
2425,2235,0.011247041
2425,2572,0.0025651145
2425,1356,0.0017758484
2425,971,0.001183899
2425,1848,0.0025651145
2425,2628,0.001183899
2425,768,0.002762431
2425,1243,0.0017758484
2425,1813,0.004340963
2425,1673,0.002762431
2425,864,0.002367798
2425,1896,0.001973165
2425,1686,0.006511444
2425,1398,0.0025651145
2425,1639,0.0053275456
2425,1878,0.0025651145
2425,352,0.0013812155
2425,2444,0.0025651145
2425,2515,0.001973165
495,1177,0.0045382795
1703,2033,0.002367798
1703,595,0.001183899
1703,40,0.001973165
1703,2235,0.0021704815
1703,1050,0.0041436465
1703,877,0.0017758484
1703,347,0.0021704815
1703,864,0.001183899
1703,1686,0.013220205
2086,2191,0.0029597473
2086,1021,0.002367798
1322,2073,0.0021704815
2460,972,0.0013812155
2510,1998,0.0029597473
2458,361,0.001183899
2458,149,0.0013812155
2458,1264,0.001183899
1259,2569,0.001183899
1259,2601,0.0013812155
1259,1360,0.0021704815
1259,422,0.0013812155
1259,2073,0.001973165
1259,784,0.001183899
1259,1813,0.001973165
1259,1686,0.001183899
1259,1750,0.017363852
834,1580,0.0015785319
834,84,0.001183899
285,2061,0.0041436465
285,1813,0.0013812155
285,1883,0.0063141277
1216,580,0.001183899
1216,2190,0.001183899
1216,2561,0.0021704815
2274,648,0.003551697
1135,2343,0.0021704815
2002,234,0.0013812155
2002,1690,0.001183899
1203,2429,0.0021704815
96,1012,0.001183899
96,1473,0.001183899
96,473,0.001183899
96,2398,0.0015785319
96,1813,0.0025651145
96,1878,0.0015785319
2088,387,0.001973165
2088,1156,0.002367798
2088,2628,0.0017758484
1068,491,0.001973165
1068,2313,0.0015785319
1068,2073,0.001183899
1068,1520,0.001183899
1068,1479,0.0015785319
1068,1639,0.001973165
1068,2591,0.001183899
1667,413,0.0013812155
1667,1882,0.001183899
2114,1360,0.0013812155
486,2037,0.0033543804
1354,2550,0.0045382795
1354,352,0.004735596
569,484,0.0025651145
8,1182,0.001183899
8,1750,0.0013812155
2359,211,0.001183899
2359,2628,0.0015785319
2045,149,0.0013812155
1396,601,0.0015785319
1396,2053,0.0033543804
1396,2215,0.001973165
1396,1455,0.0033543804
686,1737,0.0013812155
2033,2235,0.001973165
2033,1686,0.003551697
2033,632,0.001183899
943,2490,0.0013812155
2676,558,0.0013812155
2676,927,0.0017758484
2676,1541,0.0017758484
2676,2362,0.0013812155
2676,112,0.003551697
2676,2436,0.004340963
2676,449,0.002367798
2676,729,0.0015785319
2676,2236,0.0021704815
2676,507,0.001183899
2676,2531,0.001183899
2676,2206,0.0029597473
2676,1093,0.0037490134
2676,1149,0.001183899
2676,167,0.0017758484
2676,1848,0.0013812155
2676,2628,0.002367798
2676,1243,0.0017758484
2676,1813,0.0041436465
2676,1686,0.001183899
2676,388,0.00394633
2676,778,0.0017758484
2676,2208,0.001183899
2676,1878,0.0049329125
2676,1750,0.013022888
2676,2515,0.0015785319
1375,1597,0.0015785319
1375,875,0.0063141277
1375,1927,0.0013812155
1375,928,0.0037490134
